categoria,rua,latitude,longitude
Centro Saude,USF Garcia de Orta - Unidade de Saúde Familiar,41.1615614,-8.6674848
Centro Saude,USF Ramalde - Unidade de Saúde Familiar,41.1703032,-8.6530281
Centro Saude,USF Porto Douro - Unidade de Saúde Familiar,41.1543708,-8.6485127
Centro Saude,USF Carvalhido - Unidade de Saúde Familiar,41.1687678,-8.6278408
Centro Saude,USF São João do Porto - Unidade de Saúde Familiar,41.1498504,-8.6197487
Centro Saude,USP - Unidade de Saúde Pública,41.1430285,-8.608676
Centro Saude,USF Bom Porto - Unidade de Saúde Familiar,41.1540421,-8.6207873
Centro Saude,Capela das Almas de Santa Catarina,41.1498821,-8.6056554
Centro Saude,USF Cedofeita,41.1564202,-8.6205265
Centro Saude,USF Porto Centro,41.1514479,-8.6003072
Centro Saude,USF do Covelo,41.1655551,-8.6067696
Centro Saude,USF Serpa Pinto - Unidade de Saúde Familiar,41.1640774,-8.6178906
Centro Saude,USF Arca d'Água,41.1695519,-8.612331
Centro Saude,Unidade de Saúde Familiar Novo Sentido,41.1629645,-8.56937
Centro Saude,Unidade de Cuidados de Saúde Personalizados São Roque da Lameira,41.1570718,-8.589286
Centro Saude,Centro de Saúde do Bonfim,41.1453083,-8.5901093
Centro Saude,ACeS Porto Ocidental - Agrupamento de Centros de Saúde,41.1602134,-8.6817655
Centro Saude,USF Aldoar - Unidade de Saúde Familiar,41.1754445,-8.6683423
Farmacias,Farmácia Mirafoz,41.1516868,-8.6674771
Farmacias,Farmácia Central do Porto,41.1571441,-8.6429077
Farmacias,Farmácia Porto,41.1772517,-8.6574095
Farmacias,Farmácia São João,41.1837372,-8.6007363
Farmacias,Farmácia Serpa Pinto,41.1663405,-8.6204444
Farmacias,Farmácia Barreiros,41.1606323,-8.6210528
Farmacias,Farmácia Queija Ferreira,41.1631088,-8.5900774
Farmacias,Farmácia do Passeio Alegre,41.1483216,-8.6649372
Farmacias,Farmácia Avenida Mais,41.1555315,-8.6638165
Farmacias,Farmácia Mercado da Foz,41.1547341,-8.6737918
Farmacias,Farmácia Avenida Brasil,41.1592978,-8.6835156
